1) What is the correct syntax to create a new instance of the StringBuilder class in Java?,
   A) StringBuilder sb = new StringBuilder,
   B) StringBuilder sb = StringBuilder(),
   C) StringBuilder sb = new StringBuilder(),
   D) StringBuilder sb = new StringBuilder{},
2) What is the output of the following code? System.out.println("5 + 2 = " + 5 + 2),
   A) 5 + 2 = 7,
   B) 7 = 5 + 2,
   C) 52,
   D) IllegalFormatConversionException,
3) Which of the following access modifiers is most restrictive in Java?,
   A) public,
   B) protected,
   C) default,
   D) private,
4) Which of the following is not a feature of the Java programming language?,
   A) Platform independence,
   B) Automatic memory management,
   C) Multiple inheritance,
   D) Object-oriented programming,
5) What is the result of the following code? int[] a = {1, 2, 3, 4, 5}; int[] b = new int[5]; System.arraycopy(a, 0, b, 0, 5); System.out.print(Arrays.toString(b));
   A) [0, 0, 0, 0, 0],
   B) [1, 2, 3, 4, 5],
   C) NullPointerException,
   D) IllegalStateException
